name,latency,throughput(ipc),throughput(cpi)
vabsd_b,2.00,1.00,1.00
vabsd_bu,2.00,1.00,1.00
vabsd_d,2.00,1.00,1.00
vabsd_du,2.00,1.00,1.00
vabsd_h,2.00,1.00,1.00
vabsd_hu,2.00,1.00,1.00
vabsd_w,2.00,1.00,1.00
vabsd_wu,2.00,1.00,1.00
vadd_b,1.00,1.00,1.00
vadd_d,1.00,1.00,1.00
vadd_h,1.00,1.00,1.00
vadd_q,2.00,1.00,1.00
vadd_w,1.00,1.00,1.00
vadda_b,2.00,1.00,1.00
vadda_d,2.00,1.00,1.00
vadda_h,2.00,1.00,1.00
vadda_w,2.00,1.00,1.00
vaddi_bu,1.00,1.00,1.00
vaddi_du,1.00,1.00,1.00
vaddi_hu,1.00,1.00,1.00
vaddi_wu,1.00,1.00,1.00
vaddwev_d_w,2.00,1.00,1.00
vaddwev_d_wu,2.00,1.00,1.00
vaddwev_d_wu_w,2.00,1.00,1.00
vaddwev_h_b,2.00,1.00,1.00
vaddwev_h_bu,2.00,1.00,1.00
vaddwev_h_bu_b,2.00,1.00,1.00
vaddwev_q_d,2.00,1.00,1.00
vaddwev_q_du,2.00,1.00,1.00
vaddwev_q_du_d,2.00,1.00,1.00
vaddwev_w_h,2.00,1.00,1.00
vaddwev_w_hu,2.00,1.00,1.00
vaddwev_w_hu_h,2.00,1.00,1.00
vaddwod_d_w,2.00,1.00,1.00
vaddwod_d_wu,2.00,1.00,1.00
vaddwod_d_wu_w,2.00,1.00,1.00
vaddwod_h_b,2.00,1.00,1.00
vaddwod_h_bu,2.00,1.00,1.00
vaddwod_h_bu_b,2.00,1.00,1.00
vaddwod_q_d,2.00,1.00,1.00
vaddwod_q_du,2.00,1.00,1.00
vaddwod_q_du_d,2.00,1.00,1.00
vaddwod_w_h,2.00,1.00,1.00
vaddwod_w_hu,2.00,1.00,1.00
vaddwod_w_hu_h,2.00,1.00,1.00
vand_v,1.00,1.00,1.00
vandi_b,1.00,1.00,1.00
vandn_v,1.00,1.00,1.00
vavg_b,1.00,1.00,1.00
vavg_bu,1.00,1.00,1.00
vavg_d,2.00,1.00,1.00
vavg_du,2.00,1.00,1.00
vavg_h,1.00,1.00,1.00
vavg_hu,1.00,1.00,1.00
vavg_w,1.00,1.00,1.00
vavg_wu,1.00,1.00,1.00
vavgr_b,1.00,1.00,1.00
vavgr_bu,1.00,1.00,1.00
vavgr_d,2.00,1.00,1.00
vavgr_du,2.00,1.00,1.00
vavgr_h,1.00,1.00,1.00
vavgr_hu,1.00,1.00,1.00
vavgr_w,1.00,1.00,1.00
vavgr_wu,1.00,1.00,1.00
vbitclr_b,2.00,1.00,1.00
vbitclr_d,2.00,1.00,1.00
vbitclr_h,2.00,1.00,1.00
vbitclr_w,2.00,1.00,1.00
vbitclri_b,2.00,1.00,1.00
vbitclri_d,2.00,1.00,1.00
vbitclri_h,2.00,1.00,1.00
vbitclri_w,2.00,1.00,1.00
vbitrev_b,2.00,1.00,1.00
vbitrev_d,2.00,1.00,1.00
vbitrev_h,2.00,1.00,1.00
vbitrev_w,2.00,1.00,1.00
vbitrevi_b,2.00,1.00,1.00
vbitrevi_d,2.00,1.00,1.00
vbitrevi_h,2.00,1.00,1.00
vbitrevi_w,2.00,1.00,1.00
vbitsel_v,1.00,1.00,1.00
vbitseli_b,1.00,1.00,1.00
vbitset_b,2.00,1.00,1.00
vbitset_d,2.00,1.00,1.00
vbitset_h,2.00,1.00,1.00
vbitset_w,2.00,1.00,1.00
vbitseti_b,2.00,1.00,1.00
vbitseti_d,2.00,1.00,1.00
vbitseti_h,2.00,1.00,1.00
vbitseti_w,2.00,1.00,1.00
vbsll_v,1.00,1.00,1.00
vbsrl_v,1.00,1.00,1.00
vclo_b,1.00,1.00,1.00
vclo_d,1.00,1.00,1.00
vclo_h,1.00,1.00,1.00
vclo_w,1.00,1.00,1.00
vclz_b,1.00,1.00,1.00
vclz_d,1.00,1.00,1.00
vclz_h,1.00,1.00,1.00
vclz_w,1.00,1.00,1.00
vdiv_b,29.98,0.02,54.96
vdiv_bu,29.98,0.02,54.97
vdiv_d,8.99,0.08,11.99
vdiv_du,8.99,0.08,11.99
