name,latency,throughput(cpi)
vabsd_b,2.00,2.00
vabsd_bu,2.00,2.00
vabsd_d,2.00,2.00
vabsd_du,2.00,2.00
vabsd_h,2.00,2.00
vabsd_hu,2.00,2.00
vabsd_w,2.00,2.00
vabsd_wu,2.00,2.00
vadd_b,1.00,4.00
vadd_d,1.00,4.00
vadd_h,1.00,4.00
vadd_q,3.00,2.00
vadd_w,1.00,4.00
vadda_b,3.00,2.00
vadda_d,3.00,2.00
vadda_h,3.00,2.00
vadda_w,3.00,2.00
vaddi_bu,0.25/1.00,4.00
vaddi_du,0.25/1.00,4.00
vaddi_hu,0.25/1.00,4.00
vaddi_wu,0.25/1.00,4.00
vaddwev_d_w,2.00,2.00
vaddwev_d_wu,2.00,2.00
vaddwev_d_wu_w,2.00,2.00
vaddwev_h_b,2.00,2.00
vaddwev_h_bu,2.00,2.00
vaddwev_h_bu_b,2.00,2.00
vaddwev_q_d,3.00,2.00
vaddwev_q_du,3.00,2.00
vaddwev_q_du_d,3.00,2.00
vaddwev_w_h,2.00,2.00
vaddwev_w_hu,2.00,2.00
vaddwev_w_hu_h,2.00,2.00
vaddwod_d_w,2.00,2.00
vaddwod_d_wu,2.00,2.00
vaddwod_d_wu_w,2.00,2.00
vaddwod_h_b,2.00,2.00
vaddwod_h_bu,2.00,2.00
vaddwod_h_bu_b,2.00,2.00
vaddwod_q_d,3.00,2.00
vaddwod_q_du,3.00,2.00
vaddwod_q_du_d,3.00,2.00
vaddwod_w_h,2.00,2.00
vaddwod_w_hu,2.00,2.00
vaddwod_w_hu_h,2.00,2.00
vand_v,1.00,4.00
vandi_b,0.25/1.00,4.00
vandn_v,1.00,4.00
vavg_b,1.00,3.99
vavg_bu,1.00,3.96
vavg_d,2.00,3.96
vavg_du,2.00,3.96
vavg_h,1.00,3.93
vavg_hu,1.00,3.96
vavg_w,1.00,3.96
vavg_wu,1.00,3.96
vavgr_b,1.00,3.96
vavgr_bu,1.00,3.96
vavgr_d,2.00,3.96
vavgr_du,2.00,3.96
vavgr_h,1.00,3.96
vavgr_hu,1.00,3.94
vavgr_w,1.00,3.96
vavgr_wu,1.00,3.96
vbitclr_b,2.00,2.00
vbitclr_d,2.00,2.00
vbitclr_h,2.00,2.00
vbitclr_w,2.00,2.00
vbitclri_b,0.50/2.00,2.00
vbitclri_d,0.50/2.00,2.00
vbitclri_h,0.50/2.00,2.00
vbitclri_w,0.50/2.00,2.00
vbitrev_b,2.00,2.00
vbitrev_d,2.00,2.00
vbitrev_h,2.00,2.00
vbitrev_w,2.00,2.00
vbitrevi_b,0.50/2.00,2.00
vbitrevi_d,0.50/2.00,2.00
vbitrevi_h,0.50/2.00,2.00
vbitrevi_w,0.50/2.00,2.00
vbitsel_v,1.00,2.00
vbitseli_b,1.00,1.00
vbitset_b,2.00,2.00
vbitset_d,2.00,2.00
vbitset_h,2.00,2.00
vbitset_w,2.00,2.00
vbitseti_b,0.50/2.00,2.00
vbitseti_d,0.50/2.00,2.00
vbitseti_h,0.50/2.00,2.00
vbitseti_w,0.50/2.00,2.00
vbsll_v,0.25/1.00,4.00
vbsrl_v,0.25/1.00,4.00
vclo_b,2.00,4.00
vclo_d,2.00,4.00
vclo_h,2.00,3.98
vclo_w,2.00,3.99
vclz_b,2.00,4.00
vclz_d,2.00,4.00
